id,type,name
http://www.openkg.cn/COVID-19/wiki/class/C181,rdf-schema:Class,镇痛药
http://www.openkg.cn/COVID-19/goods/class/C4020701,owl:Class,镇痛药
http://www.openkg.cn/COVID-19/wiki/class/C182,rdf-schema:Class,抗生素药物
http://www.openkg.cn/COVID-19/wiki/class/C183,rdf-schema:Class,讲师
http://www.openkg.cn/COVID-19/wiki/class/C184,rdf-schema:Class,历代皇帝
http://www.openkg.cn/COVID-19/wiki/class/C185,rdf-schema:Class,鼠科
http://www.openkg.cn/COVID-19/wiki/class/C186,rdf-schema:Class,当代作家
http://www.openkg.cn/COVID-19/wiki/class/C187,rdf-schema:Class,内膜
http://www.openkg.cn/COVID-19/wiki/class/C188,rdf-schema:Class,动物疾病
http://www.openkg.cn/COVID-19/wiki/class/C189,rdf-schema:Class,抗结核病药
http://www.openkg.cn/COVID-19/wiki/class/C190,rdf-schema:Class,青枯病
http://www.openkg.cn/COVID-19/wiki/class/C191,rdf-schema:Class,日本诗人
http://www.openkg.cn/COVID-19/wiki/class/C192,rdf-schema:Class,酶类药物
http://www.openkg.cn/COVID-19/wiki/class/C193,rdf-schema:Class,深部霉菌病
http://www.openkg.cn/COVID-19/wiki/class/C194,rdf-schema:Class,复殖亚纲
http://www.openkg.cn/COVID-19/wiki/class/C195,rdf-schema:Class,陕西小吃
http://www.openkg.cn/COVID-19/wiki/class/C196,rdf-schema:Class,中国数学家
http://www.openkg.cn/COVID-19/wiki/class/C197,rdf-schema:Class,链霉菌
http://www.openkg.cn/COVID-19/wiki/class/C198,rdf-schema:Class,化工废料
http://www.openkg.cn/COVID-19/wiki/class/C199,rdf-schema:Class,儿科疾病
http://www.openkg.cn/COVID-19/wiki/class/C200,rdf-schema:Class,猫病
http://www.openkg.cn/COVID-19/wiki/class/C201,rdf-schema:Class,原虫病
http://www.openkg.cn/COVID-19/wiki/class/C202,rdf-schema:Class,畸形
http://www.openkg.cn/COVID-19/wiki/class/C203,rdf-schema:Class,懒汉病
http://www.openkg.cn/COVID-19/wiki/class/C204,rdf-schema:Class,表演艺术
http://www.openkg.cn/COVID-19/wiki/class/C205,rdf-schema:Class,中国艺术
http://www.openkg.cn/COVID-19/wiki/class/C206,rdf-schema:Class,肌肉疾病
http://www.openkg.cn/COVID-19/wiki/class/C207,rdf-schema:Class,单词
http://www.openkg.cn/COVID-19/wiki/class/C208,rdf-schema:Class,环境理论
http://www.openkg.cn/COVID-19/wiki/class/C209,rdf-schema:Class,亚种
http://www.openkg.cn/COVID-19/wiki/class/C210,rdf-schema:Class,恐怖游戏
http://www.openkg.cn/COVID-19/wiki/class/C211,rdf-schema:Class,母婴病症和急救
http://www.openkg.cn/COVID-19/wiki/class/C212,rdf-schema:Class,布鲁氏菌病
http://www.openkg.cn/COVID-19/wiki/class/C213,rdf-schema:Class,浓度
